dataset_id,observacao_id,longitude_grau,latitude_grau,ano,camada_id,profundidade_inicial_cm,profundidade_final_cm,fracao_grossa_gkg,fracao_argila_gkg,fracao_silte_gkg,fracao_areia_gkg
ctb0003,sm-dnos-001,-53.794645,-29.651271,2009,1,0,20,0,44,44,912
ctb0003,sm-dnos-002,-53.793987,-29.650564,2009,1,0,20,0,102,163,735
ctb0003,sm-dnos-003,-53.793993,-29.650232,2009,1,0,20,0,99,148,753
ctb0003,sm-dnos-004,-53.794345,-29.650311,2009,1,0,20,0,82,103,815
ctb0003,sm-dnos-005,-53.792947,-29.650838,2009,1,0,20,0,100,216,684
ctb0003,sm-dnos-006,-53.793499,-29.649951,2009,1,0,20,0,156,295,549
ctb0003,sm-dnos-007,-53.793272,-29.649962,2009,1,0,20,0,169,343,488
ctb0003,sm-dnos-008,-53.793633,-29.648468,2009,1,0,20,0,102,106,792
ctb0003,sm-dnos-009,-53.793707,-29.647836,2009,1,0,20,0,68,75,857
ctb0003,sm-dnos-010,-53.793019,-29.64797,2009,1,0,20,0,91,121,788
ctb0003,sm-dnos-011,-53.792816,-29.64804,2009,1,0,20,0,69,98,833
ctb0003,sm-dnos-012,-53.79206,-29.64927,2009,1,0,20,0,110,259,631
ctb0003,sm-dnos-013,-53.79184,-29.648724,2009,1,0,20,0,76,198,726
ctb0003,sm-dnos-014,-53.792442,-29.648539,2009,1,0,20,0,115,167,718
ctb0003,sm-dnos-015,-53.792655,-29.648548,2009,1,0,20,0,143,137,720
ctb0003,sm-dnos-016,-53.792509,-29.647109,2009,1,0,20,0,109,107,784
ctb0003,sm-dnos-017,-53.79256,-29.646736,2009,1,0,20,0,87,158,755
ctb0003,sm-dnos-018,-53.792256,-29.646199,2009,1,0,20,0,44,40,916
ctb0003,sm-dnos-019,-53.792114,-29.645725,2009,1,0,20,0,78,93,829
ctb0003,sm-dnos-020,-53.791419,-29.646682,2009,1,0,20,0,79,106,815
ctb0003,sm-dnos-021,-53.793887,-29.652717,2009,1,0,20,0,105,324,571
ctb0003,sm-dnos-022,-53.790043,-29.648311,2009,1,0,20,0,81,124,795
ctb0003,sm-dnos-023,-53.78955,-29.648663,2009,1,0,20,0,70,88,842
ctb0003,sm-dnos-024,-53.788403,-29.649114,2009,1,0,20,0,39,52,909
ctb0003,sm-dnos-025,-53.786795,-29.650051,2009,1,0,20,0,50,52,898
ctb0003,sm-dnos-026,-53.786729,-29.650198,2009,1,0,20,0,58,60,882
ctb0003,sm-dnos-027,-53.786439,-29.647667,2009,1,0,20,0,122,234,644
ctb0003,sm-dnos-028,-53.786838,-29.647463,2009,1,0,20,0,53,52,895
ctb0003,sm-dnos-029,-53.785726,-29.646196,2009,1,0,20,0,44,60,896
ctb0003,sm-dnos-030,-53.782776,-29.642239,2009,1,0,20,0,58,64,878
ctb0003,sm-dnos-031,-53.782604,-29.641715,2009,1,0,20,0,76,79,845
ctb0003,sm-dnos-032,-53.78358,-29.643612,2009,1,0,20,0,83,71,846
ctb0003,sm-dnos-033,-53.783181,-29.644809,2009,1,0,20,0,115,103,782
ctb0003,sm-dnos-034,-53.786181,-29.645831,2009,1,0,20,0,75,64,861
ctb0003,sm-dnos-035,-53.79162,-29.65165,2009,1,0,20,0,113,165,722
ctb0003,sm-dnos-036,-53.790323,-29.650243,2009,1,0,20,0,116,105,779
ctb0003,sm-dnos-037,-53.789106,-29.649981,2009,1,0,20,0,55,77,868
ctb0003,sm-dnos-038,-53.788766,-29.650904,2009,1,0,20,0,66,85,849
ctb0003,sm-dnos-039,-53.788001,-29.651884,2009,1,0,20,0,33,38,929
ctb0003,sm-dnos-040,-53.78967,-29.652096,2009,1,0,20,0,117,163,720
ctb0003,sm-dnos-041,-53.790849,-29.6533,2009,1,0,20,0,85,210,705
ctb0003,sm-dnos-042,-53.788561,-29.654778,2009,1,0,20,0,91,199,710
ctb0003,sm-dnos-043,-53.788313,-29.654537,2009,1,0,20,0,104,162,734
ctb0003,sm-dnos-044,-53.790373,-29.654251,2009,1,0,20,0,69,95,836
ctb0003,sm-dnos-045,-53.796479,-29.653913,2009,1,0,20,0,230,299,471
ctb0003,sm-dnos-046,-53.795904,-29.653944,2009,1,0,20,0,219,244,537
ctb0003,sm-dnos-047,-53.797283,-29.654583,2009,1,0,20,0,243,279,478
ctb0003,sm-dnos-048,-53.799054,-29.654445,2009,1,0,20,0,113,218,669
